name,genre,summary
Mini Gardens,Puzzle Simulator Strategy Card & Board Game,Connect the hose to sprinklers of your garden and watch your flowers instantly grow revealing a beautiful scene Mini Gardens is a logic puzzle game
Masters of Puzzle: In Serenity,Simulator Indie,A puzzle box in the traditional art for the Masters of Puzzle game
Mononobe no Futo to Muttsu no Shiren,Role-playing (RPG) Adventure Indie,Mononobe no Futo to Muttsu no Shiren is a fanmade Touhou Projectroguelike game created by Aqua Style
Monster Fair,Pinball,Monster Fair is a digital pinball game created by Japanese developer LittleWing in 2004 It is themed around monsters running a carnival
Middle Ages Hero,Adventure Indie,Middle Ages Hero is a platform game in a medieval environment with an epic story built for the fun of its players Do not hesitate to try it
Math Game,Puzzle Strategy Indie,Math Game is a leisure puzzle game
"Max, an Autistic Journey",Role-playing (RPG) Indie,Max an Autistic Journey is a retro style topdown turnbased RPG filled with mini games monsters and most of all heart Developed by a devoted dad who made a game with his son about his sons autism
Mighty Action RPG,Role-playing (RPG) Adventure Indie,A sandbox game based on Action RPG complete quests craft and and do everything typical in Action RPG games
Moonblood,Shooter,Moonblood is a megawad 32 levels for Doom 2
Memorabilia: Mia's Mysterious Memory Machine,Puzzle,A hidden object  match3 game in which Mia helps the residents of Berryside Mews to find their lost items by locating and piecing together memory fragments with a mind reading machine
Mega Pinball,Pinball,This is a classic version of pinball There are three tables  Monsters Rhapsody Dragon Cave and Crystal Tower Each table has a quest for a noble hero as well as target areas and combos to aim for
Mini Putt,Sport Indie,Mini Putt is a multiplayer minigolf game for you and your friends Enjoy our carefully crafted maps and maps made by our awesome community using our advanced map editor
New Yankee 6: In Pharaoh's Court,Adventure Indie,Travel back in time to the land of the pharaohs to stop an imposter from seizing the throne Its all in a days work for Sir John and Lady Mary  the Yankees who travel through time to save the world
Nastrond,Shooter,Very large and detailed Knave fortress
Neave 2,Platform Indie,Explore the world of Neave 2 as you hunt for magical floating cubes If youre feeling competitive race for the fastest time to claim a top spot on the leaderboard
Mysterious House,Indie,Logic platformer with logic tasks with all sorts of obstacles and teleports Closed doors assistants can open The main thing is to remember they are very stupid so it is worth protecting them
Noel the Mortal Fate: Season 9 - Burn Your Name,Role-playing (RPG) Adventure Indie,The ninth game in the NOEL the mortal fate series  Released as a Web Browser and Windows game in Japan the game released on Steam as DLC for the series bundle Noel the Mortal Fate S17
Mr Anchry's Day of Twilight,Adventure,Mr Anchrys Day of Twilight is the 6th installment of the popular indie horror franchise Mr Anchry It was created on the 6th of April 2020 for the Orange County Lockdown Game Jam
Need for Speed: Collector's Series,Racing,A package bundling Need for Speed Underground Need for Speed Underground 2 and Need for Speed Most Wanted
N2O: Nitrous Oxide,Shooter Racing,N2O Nitrous Oxides gameplay is pure shooter reminiscent of the arcade classic tempest Youre stuck on the perimeter of a tube and you job is to shoot at everything in your way
My Sticker Book,Adventure Indie,I cant sleep A cute and possibly a little bit scary puzzle platformer game Move stickers to the right positions in order to get rid of the monsters and complete the sticker book
Necro Wars,Simulator Strategy Adventure Indie,Gather your allies build your army and repel the invading Elven forces in this 3D turnbased strategy game inspired by Advance Wars
Mue,Adventure,A Horror game where you play Alicia wandering through a creepy mansion filled with humanlike statues Who did this and why   Face your fears in Mue
Music=Operator,Music,A rhythm game from Rhythnibus
NewTypes,Simulator,Simulation game of virtual spacecraft VRVive version and non VR version are included
New Years Eve Slaughter 2022,Shooter,This wad contains 5 short slaughterish maps plus 1 bookend map that are all fairly difficult
Mystery Trackers: Nightsville Horror Collector's Edition,Adventure,The Owl Man cometh
Mystery Case Files: The Revenant's Hunt - Collector's Edition,Adventure,Can you stop the Revenant before its too late
Nobunaga no Yabou: Tenshouki,Strategy,Nobunaga no Yabou Tenshouki is a Strategy game published by Koei which was released in Japan in 1996
Neophyte: The Spirit Master,Role-playing (RPG),The Spirit Master is the third and final shareware episode of the Neophyte saga
Nickelodeon All-Star Brawl 2,Fighting Platform,Nickelodeon AllStar Brawl 2 is bigger and better than ever with all new gameplay campaign characters voiceover modes and more
Mustache or Revenge,Adventure Indie,Do not let fiend steal your mustaches It is challenging platformer taking you to the adventure through dangerous dungeons filled with ingenious traps
Nihil,Adventure,Nihil is a fangame of the classic indie hit Yume Nikki Following a girl named Yorutsuki escaping from reality through her dreams you are tasked with collecting several Effects found in her dream world
Nanosaur II: Hatchling,Shooter Simulator,As a geneticallyengineered pterodactyl players fight against insurgent dinosaur forces in order to save Earth
My Little World,Puzzle Strategy,A relaxing building game where you create your own world using hexagonal tiles
Ninja?,Indie,Ninja features a variety of movement abilities to help you traverse a procedurally generated level for endless runner fun
Namco Museum 50th Anniversary,Shooter Arcade,Includes 14 Classic Arcade Hits  PacMan  Ms PacMan  Galaga  Galaxian  RallyX  Pole Position  Pole Position 2  Xevious  Dragon Spirit  Bosconian  Rolling Thunder  Mappy  Sky Kid  Dig Dug
Ninjapple,Indie,Ninjapple is a crazy 2D platformer in which you need to collect the five elemental medalions to bring peace back to the world  Take part in this adventure throughout many levels 
Mystic Diamonds,Puzzle,Mystic Diamonds its a puzzle game in which you click on a gem and drag it through the game field creating matching groups of 3 or more gems vertically or horizontally
Nickelodeon All-Star Brawl: Jenny,Fighting,Buy the Jenny Pack to unlock the stateoftheart protagonist from My Life as a Teenage Robot Available Now Nickelodeon AllStar Brawl game required sold separately
My Uncle's Garden,Puzzle Adventure,You travel to a small hut in the woods because you received a mysterious letter telling you about a uncle you never heard of What can possibly go wrong
New York Bus Simulator,Simulator,Dense traffic one way streets and a huge city are waiting for you Sit down at the steering wheel and carry the residents of New York to their final destination
Night Drive VR,Racing Indie,Select your playlist and drive a flying car through a scifi city
My Fox Sister,Adventure,The high school students leading role was called by a mysterious woman Actually she was forced to adopt a fox  Whats wrong with this world Mysterious woman you let go of the hero and rush to me
Neon Race,Racing Indie,Cute retro racer Go loop and loop in this relaxing animal racing game
Ms. Holmes: The Monster of the Baskervilles - Collector's Edition,Adventure,Can you stop a past case from destroying the present
Oatmeal,Simulator Indie,Oatmeal This game is about oatmeal In this game you have a spoon and 1 minute to eat as much oatmeal as you can Its not as easy as you think
Ouija Rumours,Indie,Oujia Rumors provides a firstperson thrillerhorror survival experience taking in a haunted house The fictional storyline is set to raise awareness against rumors The wise do not buy rumors do you
Ookami-kun,Adventure Indie,Jump action game by Wanpaku Pixels
Paso Pico McDonald's de Asobo!,Simulator,This is the PC remake of McDonalds de Asobo
Pagan: Emporium,Role-playing (RPG),The Devil is Watching
Over the Moonlight,Adventure,Lost and alone you delve into an intriguing place
Omeganaut,Shooter Arcade,When Starfox meets roguelike
Outgun,Indie,Outgun is a multiplayer capture the flag game with minimalist graphics in 2D topview
Paper Quest,Adventure,Paper Quest is an endless runner with a twist  based on exploring different worlds   and collecting cash for new powerups   items furniture and equipment for your home
Outbreak: The New Nightmare,Shooter Role-playing (RPG) Adventure Indie,Return to the roots of coop survival horror as you face monstrous hordes scrounge for supplies and attempt to survive the nightmare You have one life Make it count
Omnicube,Indie,Solve challenging blocksliding logic puzzles on the back of a talking cube in space
Pathfinder: Wrath of the Righteous - Faces of War,Role-playing (RPG) Tactical Adventure Indie,New crusaders arrive in Kenabres to fight the demons and free Golarion from the Worldwound
One Wheel Guy,Platform Sport Adventure Indie,One Wheel Guy is a fun and challenging platforming game where you control a guy on a unicycle and try to guide him to the goal at the end of each level
One Day for Revenge,Simulator Adventure Indie,One Day for Revenge  bloody indie shooter with a view from aboveA beautiful morning fresh air a trip to the maternity home it would seem did not foretell any ills But fate has its own plans
Okami HD: Limited Edition,Role-playing (RPG) Adventure,This edition includes the following PS4  Game  Special DLC  Special Package  Special Wrapping Cloth 68x68 CM  2 x Special Poster B5
OneScreen Wagons,Indie,Multiplayer snakes with bonuses colorful wagons rocks tunnels swamps people team game and lots of fun
Nyasha Beach,Indie,The game is a classic puzzle with three levels of difficulty
Parfait: Chocolat Second Brew,Visual Novel,Parfait Chocolat Second Brew is a Bishoujo romance visual novel about two cafes competing for business It is also a sequel to the popular game Chocolat Maid Cafe Curio
Out of Frame,Adventure,Change the world by changing its framework The answer always lies just beyond
Operation K.A.T.B.,Platform Indie,On an unknown planet somewhere in the universe one brave Social Justice Space Pirate must find and rescue their fearless crew the only way they know how
Orbt xl,Indie Arcade,Defy Gravity Orbt XL is an intense addictive and fun justonemoreround score chaser Perfect for playing while waiting in queue for another game
Park Alien: A ludo in the space,Strategy Indie,A ludo in the space in which you play with aliens What more you can ask for
Once on a windswept night,Indie,A yuri GxG VN about a traveller who runs across two nuns in an abandoned church
Overdriven Evolution,Shooter Indie Arcade,Destroy Huge Bosses dodge thousand of bullets and resolve quick puzzles with your powerfull space ship  New and remade stages with improved graphics and 3D environments More enemies and more bullets 
P-Bot,Indie Arcade,PBot the amazing scifi platformer Jump swing and bounce through this futuristic city Encounter various obstacles that will require your skills to overcome
Nosos,Indie,Nosos is a cooperative horror game from 1 to 4 players Find all the demonic objects and complete a ritual without getting caught by the monster in the house
Payday 2: Hostile Takeover Heist,Shooter,Hostile Takeover Heist is available on its own or as part of the Hostile Takeover Bundle
Out There Somewhere,Platform Puzzle Adventure Indie,You play an explorer stranded on a dangerous alien planet Low on fuel your only hope for escape is to find the planets core in this incredibly clever actionpuzzleplatformer
Outline,Indie,Outline is a addictive puzzle game where you draw a line hunting for colored dots
Pawndemonium,Puzzle,Charge through a swarm of pawns in this chessbased twist on tower defense Work to fortify your back line while protecting against wave after wave of pawns and other chess pieces
OverTheCloud_Global,Simulator Indie,In a not so distant future the story takes place on a spaceship the mankinds last refuge
Office Simulator,Simulator Strategy Indie,Try to turn a small garage startup into a large company
Power Chess 98,Strategy,Chess game made by Sierra OnLine It is an updated version of the original Power Chess
Post-Shift 2,Point-and-click Indie,PostShift 2 is a Five Nights at Freddys fangame project set in an alternate universe from the original FNAF games by Scott Cawthon Acting as a continuation of the previous fangame PostShift
Pinga Ponga,Indie,Pinga Ponga is a improved Pong game with many extras and different game modes
Pico Driller,Puzzle,Drill as deep as you can but dont get crushed
Pixel Run!,Platform,Pixel run A perfect game to play when youre calm This game has been inspired by Scott Cawthons game There Is No Pause Button
Poly Jigsaw: Furries,Puzzle Indie,Poly Jigsaw Furries is a traditional style jigsaw puzzle game with a cute furry
Playing God,Indie,An interactive narrative FMV scifi VR experience
Pixel Puzzles 2: Christmas,Simulator Sport Strategy Indie,Pixel Puzzles 2 Christmas is a traditional style jigsaw puzzle game in a festive style
Price,Puzzle Adventure Indie Visual Novel,Price is a free puzzle game Ivry woke up from nightmare finding himself in a wierd chamber He had to seek for truth as well as his sister Iva so as to escape from darkness and get out of terror
Plowing Through,Shooter,Large spacious base map with industrial machinery The map source is included
Pub Simulator,Simulator,Virtual Reality short order cooking game Grab ingredients chop pour and cook The faster you make the order the higher your tips
Pixeria,Shooter Platform,A platformer collection marathon where the player collects up to 50 waffles in a slime infested Pixeria
Phantom Integration,Visual Novel,An expanded version of Phantom of Inferno containing a new ending
Pillars of Eternity II: Deadfire - Deck of Many Things,Role-playing (RPG) Adventure,Come aboard the Deck of Many Things and shop or seize a wide array of new items
Psyche Metal: The Bleeding,Shooter Indie,A 2004 freeware bullet hell game with a body horror meat level aesthetic
Plastic Model,Point-and-click,A very short free to play game about assembling a plastic model kit Made by Mike Inel
Plants,Indie,Unwind and destress with the help of the calm music and serene environment Plants is a nontraditional and nonviolent experience where you take control over a growing flower
Proelium,Simulator Sport Indie,Proelium  is the new action fighting game inspired by the world of cyberpunk Beginning beyond possibilities Your turn to win
Portal 2: And the Abyss Gazes Back Part 1,Puzzle,Waking up on the wrong side of the bed is the least of your worries when being plunged to the bottom of Aperture Sciences bottomless pits
Pumpkin Eater,Indie Visual Novel,Family is family
Plankton,Simulator Indie,Minimalist style game  plankton simulation an electronic pet generated by math codes  Under your care it will slowly grow up and evolve
Project Michael: The Halloween Nightmare,Adventure,Project Michael The Halloween Nightmare is a Horror Adventure game which invites the players into an atmospheric adventure nightmare
Psikodelya,Indie,Explore multiple dimensions in a psychedelic world in the quest to find Alice project files Solve puzzles and overcome obstacles on gravitydefying platforms Welcome to the world of Psikodelya
Pixel Noir,Role-playing (RPG) Indie,Pixel Noir combines classic RPG gameplay with a noir detective story The game is currently in limbo after failing to meet its Kickstarter goal
Proeball,Indie,A Classic  physical timekiller where the player controlling the ball must go the distance and get to the checkpoint for a minimum period of time
Pulsor,Indie,Pulsor is a fast paced shoot em up space arcade game where you orbit a black hole Use your quick reactions and aim to blast the obstacles in your way 
Polygon's Royale,Adventure Indie,Polygons Royal is the battleground survival game for everyone It is a single player last man standing thirdfirst person shooter for low spec pcs with adjustable graphic settings for higher spec pcs
Polka Dot Pirate,Adventure,Pick up rare mysterious treasures and give them to your pirate friends  A game by Daniel Linssen with music by Jared Hahn  Made for GGJ 2017
Press Ctrl,Puzzle Indie,A mindbending puzzler where your avatar controls another avatar via an ingame keyboard
Pirates: Legend of the Black Buccaneer,Puzzle Adventure,Pirate Francis Blade searches for the treasure of the Black Buccaneer
Plates,Indie,Plates is a minimalist puzzle game Experiment and explore to progress through over 50 inventive levels
Project Kunai,Shooter Platform Adventure Indie,Project Kunai is a super fast FPSPlatformer game which you can use special abilitys and Kunai Reach highest speed and complate levels fastest yo can Learn the truth about Project Kunai and your past
ReSizE,Strategy,This is a space puzzle to challenge your brain in which you should try to get through all of the rooms
Ralsei's got a gun!,Shooter,This is a modWAD for DOOM 2 featuring Ralsei from DELTARUNE but he has a gun A couple of guns in fact You might want to stay as far as you can away from him
Reticle Star,Platform Indie Arcade,Get the key and step on the goal If you get a star you can use the dash Try to clear all 70 stages
Real Pool 3D - Poolians,Simulator Sport Strategy Indie,Real Pool 3D Poolians is one of the best online pool game Play against the computer or real players all over the world It supports 8 different types of pool games and team play mode
Rina RhythmError,Music Indie Arcade,The indie rhythm game Rina RhythmError is now here lighting up the retro electronic trend Bring a unique BOSS Fight experience with the ERROR Girls
Road to Scrubville: A Bijuu Mike Fangame,Visual Novel,Road to Scrubville is a Bijuu Mike inspired fangame Clarence decides to take revenge on Bijuu Mike once again will it end well this time
Ridge Racer Unbounded,Racing Simulator Arcade,Ridge Racer Unbounded takes the Ridge Racer series in whole new direction by adding a dose of destruction to the familiar arcade gameplay
Red Island,Shooter Indie,Red Island is a one small hold  Gun boss Rush minigame of Casual difficulty
Puzzle Sisters Foer,Indie,The Puzzle Sisters suddenly crippled just remember the problem but forgot the answer smart buddy come and help her answer questions Puzzle Sisters
Qi Yun Yi Meng,Point-and-click Puzzle Adventure,Qi Yun Yi Meng translated as Clouds of Dreams is a narrativedriven pointandclick adventure puzzle game
Random of Wars,Role-playing (RPG) Simulator Indie,Random of wars is a mmofps You live the life of a soldier in broad outline Training simulation  fight entirely in multiplayer This is Classic fps but more fun environnement
Redd's Runaway,Indie,Stop the Underworlds hordes of demons and ghouls in this Arcade game inspired by the Day of the Dead and Halloween
Resident Evil 2: Kendo's Cut - Uncut,Shooter,Sequel to the mod to the original Kendos Cut this time following Claire as she deals with the ramifications of Robert Kendo surviving the zombie attack on his gun store
RehAIbilitation,Visual Novel,A visual novel about a lolita who travels to an isolated place in hopes of fixing herself leaving behind something dear to her She meets a peculiar nurse
Quakeguy Goes to White Castle,Shooter,15 speedjam SP levels five custom skyboxes a music track and some map sources
Rebirth: Mr Wang,Indie,This is a plot game that uses mouse clicks to interact and level puzzles The game has beautiful graphics and interesting plot Use your wisdom to help your neighbors
Revenge of the Killer Octopus,Indie,Revenge of the Killer Octopus is a thirdoctopus game where you shoot and possess your way through throes of enraged scientists in order to take your revenge
Puzzle Agent 2,Point-and-click Puzzle Adventure,Agent Nelson Tethers just solved his biggest case yet So why isnt he satisfied Venture back to eerie Scoggins Minnesota to solve the mystery of the Hidden People once and for all
Rhythm Stones,Indie,Rhythm Stones is a 1 button 3D rhythm game that crosses moving stepping stones
"Remember, Remember",Strategy Adventure Indie Visual Novel,A psychological horror game and visual novel that will test your morality your ability to adapt and your willpower to remain sane under pressure
Put Your Brain on 2,Simulator Sport Strategy Adventure Indie,Put Your Brain On 2 is a casualpuzzle game about thinking and organizing tactics
Quip Anomaly,Indie,Quip Anomaly is a deep space dodge em up game Guide Virnu to dodge hazards acquire research and obtain power ups As you unlock each level you will learn more about Virnu and her story
Raiden II,Shooter Arcade,Excellent sequel to the classic original Raiden As in the original players control a fighter jetspaceship through various levels while shooting down other planes and bombing tanks on the ground
Red 777,Shooter,Large interconnected red Knavestyle castle with excellent construction and an insane number of secrets
Raging Ball,Indie,First finish the game then improve your speed
Puzzles for smart: Cats,Indie,Puzzles for smart Catsfor fans of popular puzzles of different complexity Collect a puzzle with the image of these small animals
Retaliation,Adventure Indie,Can you find the answers lost deep within your memory
Remy Raccoon and the Lost Temple: Halloween Hijinks - Volume 2,Adventure Indie,Remy Raccoon is back in this Halloween special of our cute gemgrabbing arcade game Join Remy in 11 brand new Halloween levels filled with fiendish traps and malevolent creatures Your adventure awaits
Restaurant Manager Simulator,Simulator Strategy Adventure Indie,Try Restaurant Manager Simulator As the leading person of the restaurant you have to maintain a balance and harmonybetween all the stuff Your job is a hard and very responsible one
Rattus,Indie,Play as a Rattus a psychic rat capable of summoning meteors and altering the fabric of time He decides to fight some birds Can you help him survive
Rampage Ball 2048,Indie,Rampage Ball 2048 is a classic Arkanoid game with RPG elements Upgrade the ball and crush blocks
Rampage of the Dead,Indie,Rampage of the Dead is an arcade FPS endless wave shooter Will you be able to survive the wrath of the enemies or they will take over you Defend yourself and show them show them all
Ragnarok Battle Offline,Fighting Platform Hack and slash Adventure,Ragnarok Battle Offline is a 2D side scrolling brawler based on the MMO Ragnarok Online
Raatihuone,Adventure,Raatihuone is a virtual reality experience where you travel through the history of Kajaani city hall and solve interesting puzzles
RoboArena,Indie,Multiplayer action game where you can assemble your robot from spare parts and go into battle with it
Salzburg no Majo: The Witch of Salzburg,Adventure,A group of presentday students investigate the history behind a 500year old Austrian witchhunt in this adventure
Scary Nikki,Adventure,Scary Nikki is a parody Yume Nikki fangame You play as Sanpurutsuki and explore her strange terrible and have lots of MEMEs dream world
Rogue Operatives,Indie,Rogue Operatives is a online multiplayer game based in the ever unstable yet comical world of Novak Intelligence
SBX 5K,Strategy Indie,PVP turnbased strategy scifi arena shooter
Seashells,Adventure,A short firstperson horror exploration game that takes around 2030 minutes to finish
Royal Detective: The Lord of Statues - Collector's Edition,Adventure,Save the besieged alpine village of Martlet and rescue its residents from the mysterious living statues in this exciting Hidden Object Adventure game
Robert E. Lee: Civil War General,Strategy,Civil War Generals is a hexagonal turn based strategy game
RoboSnakes: Core Wars Legacy,Strategy Indie,An alien voice resonates within your head IFPROGRAMROBOSNAKESMART KILLENEMYAITHENWINAGAINSTFRIENDS SAVEHUMANITY
Samoliotik,Indie,Samoliotik is a stylish shootemup with different enemies bosses colour palettes powerups set in different eras In this game you will fight Adolf GutlerThe Illuminati and other creatures
Seashell,Puzzle Simulator Indie,Relax make time for yourself and collect unique and beautiful gifts from the sea Examine seashells while learning all about them in this short experimental game about our favourite place to unwind
Royal Defense: Invisible Threat,Puzzle Strategy Indie,More levels for the fantasy tower defense game
Royal Legends: Raised in Exile Collector's Edition,Adventure,Save the king and his kingdom Dont let a cunning and unprincipled villain ascend the throne You are the only one who can influence the course of history Are you ready to accept the challenge
Royal Affairs,Role-playing (RPG) Indie,At your exclusive boarding school will you rule the roost or be a royal disaster Court publicity sway the fate of nations and find love
Rogue Contracts: Syndicate,Indie,Be Stealthy Be Fast Be Tactical Be Lethal  Enter a dark dystopic world of advanced organized crime and prepare to take on a highly militarized and dangerously ambitious syndicate
Royal Detective: The Last Charm - Collector's Edition,Adventure,Can you rescue your daughter and save both realms in time
Rope Racer O'Neon,Simulator Indie,This is a neon world and racers who can use the rope Choose your car paint it however you want gather crystals and try to cross the finish line
Ruin,Shooter,Ruin takes place in a ravaged city guarded by a whole lot of sentry drones
Rocket Craze 3D,Simulator Adventure,Build a space rocket and launch it to the Moon Shoot everything on your way up there
Santa's Workshop: Unhinged,Puzzle Strategy,Help Santas Toy Machine Broke Quick find places to get rid of all the presents before its too late and the room fills up with too many of them
Sangwich,Simulator Indie,A sandwich building simulator
Secrets of the Acropolis,Shooter,Duke decides to take a welldeserved vacation So he packs his bags and heads to the Mediterranean to relax and enjoy the sites
Sectant,Shooter,Sectant is a Blood addon by Zik of the Russian Blood Community announced on December 27 2006 later followed up with the standalone Sectant 2
Saligia,Simulator Adventure Indie,Moses who does not know that he has committed the sin of Anger one of the Seven Deadly Sins in Christianity will pay for this sin with his mind
RollerCoaster Tycoon 3: Wild!,Simulator Strategy,Rollercoaster Tycoon 3 Wild is the second official expansion pack for Rollercoaster Tycoon 3 It adds animal enclosures and safaris as well as many new ride types and rollercoasters for the player
Sasha's Stupid Coffee Shop,Simulator Indie Arcade,Start from the bottom and work your way to the top of selling the worlds best coffee
Rope,Puzzle Indie,Rope is a short 5 minutes linear puzzle game with no story a minimalist artstyle and a philip glassinspired soundtrack
SD Gundam G Generation Cross Rays: Premium G Sound Edition,Strategy Turn-based strategy (TBS),This version contains   SD Gundam G Generation Cross Rays  A Full track list of Gundam Series
Robots Attack on Vapeland,Adventure Indie,You play for robot Pep and you need to save your planet from invasion of invaders from Kokostan An great and interesting adventure awaits you
Second Chance,Puzzle Adventure,A 2nd person horror game
Sea Legends: Phantasmal Light,Puzzle Adventure,A hidden object game from Shaman Games
Runic Recycling,Shooter,Mediumsized metalrunic style level with classic gameplay a builtin skillselection room and an additional alternative game mode
Somnium,Platform Adventure,Travel through a retro netscape to deliver an important message in this first person platformer
Sofia,Adventure,SOFIA is a relaxing love story exploration game about love and distance  Explore unique environments read the letters hanging on the trees and relax in this beautiful game
Silent Woods: the Cleansed,Adventure Indie,A mysterious forest with strange happenings murderous torment alone in the silent forest precision platformer game with puzzle elements
Shady Trial,Point-and-click Puzzle,The mostterribleever Patchouli presents a hilarious court game Dance battles occur in the court By the way lets play baseball
Sim Companies,Real Time Strategy (RTS) Simulator Strategy Indie,Be a Tycoon Build your own company from the ground up Find and exploit gaps in the market and compete against other players
Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,Visual Novel,A sequel to Shirahana no Ori  Hiiro no Kakera 4 with four seasonal stories Song of Spring Summer Festival Autumn Harvest and Winter Snowflakes
Soccer Manager 2022,Simulator Sport,Sign official FIFPRO licensed players and compete to become the ultimate football manager
Smackhead,Simulator Indie,Can you complete all the levels of Smackhead to escape from this strange dream and take the completion achievement
"Shotgun, Dungeons, Laser Traps",Indie,A first person puzzle shooter Shoot boxes push bombs fend off enemies find a way out of lasermechanical traps
Shinobi Shift,Adventure Indie,Shinobi Shift is a firstperson platformer with shooter elements where you can control the time
Ski Hard: Lorsbruck 1978,Sport Indie,Minimalist retro skiing Hard Physics based Occasionally infuriating
Sky Conqueror,Adventure Indie,Sky Conqueror is an intense easy to learn skydiving game with an infinite procedurally generated map A great game to relax for half an hour and chase your latest highscore
Slash It,Indie,Slash It is a 2D colorful arcade game The goal is to match shapes press letters and numbers in the right time and direction
Shady's Poopong,Sport,Pong But with poop And a toilet And a gorillas head
Soliterix,Strategy Indie,Tired of the spider Try a different way to play the solitaire A mix between the classic and the wellknown falling blocks game
Sil,Role-playing (RPG),Sil is a roguelike game with a strong emphasis on discovery and tactical combat inspired by a faithful interpretation of JRR Tolkiens writings
Shuuen ~Another World~,Adventure,Shuuen Another World is a short Shuuen no Shiori fangame where you play as Cta and need to find a way to get out of your school alive
Snake vs Snake,Indie Arcade,Snake vs Snake is a fast paced snake game with an insane battle mode with powerups and much more Inspired by old classical Snake but with a much faster arcade pace and multiplayer support
Shrouded Tales: Collection,Adventure,This bundle of the Shrouded Tales games contains the items     Shrouded Tales Revenge of Shadows Collectors Edition   Shrouded Tales The Spellbound Land Collectors Edition
Sonic Arena,Fighting,Sonic Arena is a Fighting game that was finished after 17 years
Shin Galaxy: Alpha War,Shooter Role-playing (RPG) Indie,A space shooter game with RPG mechanics Players will be able to improve their ships to tackle the challenges ahead as well as buy better ships and customize them
Shuumatsu no Valkyrie Humanity's Last Hope,Fighting,It is a game created for the SNV community to recreate the most epic battles in anime
Solitaire: Learn the Flags!,Indie,A combination of using flashcards for learning with the classic card game Solitaire
Sherlock Holmes: The Awakened - Deluxe Edition,Puzzle Adventure Indie,The Deluxe Edition Includes  Sherlock Holmes The Awakened  Exclusive PreLaunch DLC  The Sleuths Attire 3 costumes  Set of digital wallpapers  The Whispered Dreams Side Quest Pack
Skeal,Platform Sport,A short skiing game that features Seal pleasure and pain
Slayer of Traitors,Indie,Player is wounded female who only mission is to kill all zombies in different missions
Sokolor,Puzzle Strategy Indie Card & Board Game,Sokolor is a sokoban game with innovative mechanics Push the colored cubes into their correct positions but first you need to paint yourself the same color to be able to push them
Soft Kitten Experience,Platform Indie,Created by Sylvie  Aria featuring music by Frédéric Chopin and 煉獄庭園 Rengoku Teien The difficulty is extremely high Controls Figure it out yourself
Slenderman vs. Freddy the Fazbear,Fighting Arcade,Urban Legends clash Fight as your favorite Fear Character
Sinister Intention,Shooter,7 maps done by Jayextee after a 10 year mapping break
Slava Ukraini!,Simulator Strategy,A completely free game of heroic defence against enemy aggression Take part in the defence of Ukraine against Russian aggression A tribute to the courage and valor of the Ukrainian armed forces
Simon the Sorcerer's Pinball,Pinball,Simon the Sorcerers Pinball is a pinball game for the PC based on the point  click adventure games Simon the Sorcerer
Space Station Cargo Simulator,Simulator Indie,SSCS is an indie arcade game with puzzle elements where you take the role of a simple cargo sorter in a huge corporation You will have to sort the cargo by weight fragility and content
Steiiaria,Indie,Steiiaria  Endless space lofi adventure for all lovers of puzzles and fun Mahjong space and planets come together to give you the ultimate gameplay and music enjoyment in this game
Space Cube Racers,Racing,Space racing game for up to 4 players local splitscreen It uses newtownian mechanics but with an easily to pilot control scheme where your ship will always thrust along your line of sight
Souls Lore,Role-playing (RPG),This is a sample game created in RPG Maker MZ by Douraku Equip souls to unlock new powers and fight the aliens in this traditional RPG
Spotter,Adventure Indie,Spotter is the exciting game where you explore around a mysterious room searching for hidden objects
Square Box,Simulator Indie,Square Box a game with the ball falling in a box
Sunday Rivals,Sport Indie Arcade,Sunday Rivals is a fresh take on the hard hitting actionpacked football games of the past built and tuned for a hungry generation of players ready to take back the field
Space Empires III,Strategy,The third game within the Space Empires series brings the dawn of a new age of exploration Your race keeps running through the fabric of space and moves to other solar systems beyond your own
Street Fighter V: 2017 Deluxe Edition,Fighting,This version includes   Street Fighter V  Street Fighter V Season 1 Character Pass  Street Fighter V Season 2 Character Pass
Sorcerer's Path,Adventure,An adventure vertical shooter where straight is not the only direction
Stream Battlecards,Role-playing (RPG) Indie,In Stream Battlecards your viewers can battle monsters in your Twitch livestream Play together or keep engangement during stream breaks
SoulCalibur VI: DLC 12 - Character Creation Set E,Fighting,Additional items for use in Character Creation 42 in total
Square,Indie,Launch Recall Avoid
SoulCalibur VI: Cassandra,Fighting,Celebrate 20 years of Soulcalibur with an all new playable character Cassandra
Spellstone,Role-playing (RPG) Strategy Turn-based strategy (TBS) Adventure Card & Board Game,Spellstone is a fantasy card game with beautiful handdrawn art and rich lore Collect hundreds of striking cards to battle through a compelling story and unravel the mystery of the Void
Stop! Dictator Kim Jong-un,Simulator Indie,Let s beat the bad dictator to relieve stress
Station-8,Platform,Explore a research station in this short platformer
Stellar 2D,Shooter Indie,Stellar 2D is a retro style space arcade game its a 2D game in a 3D world With an addictive fast paced casual gameplay style
Starseed Pilgrim,Platform Puzzle Adventure Indie,Starseed Pilgrim is a puzzle game where the player adds blocks with different proporties to each other trying to get as far as possible as the blocks disappear
Star Renegades: Deluxe Edition,Role-playing (RPG) Turn-based strategy (TBS),For those who cant get enough Star Renegades in their life we are offering the DELUXE EDITION which includes the game original OST and 100 fullcolour page art book
Stickman in the portal,Indie,Cubes panels buttons and many many portals
